first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,player_id
Petr,Cech,0,0,24,585,9,0,205,0,3,130,20.4,1,0,0,1.1,47,1
Bernd,Leno,0,0,106,2835,42,0,807.2,0,5,568,80.5,6,0,0,4,49,2
Laurent,Koscielny,3,0,62,1329,23,29.5,456.4,105,8,319,59.1,3,0,1,0.9,54,3
Héctor,Bellerín,0,5,60,1532,21,197.8,261.6,280,5,304,73.7,4,0,3,4.5,53,4
Nacho,Monreal,1,4,77,1860,24,196.6,413.2,224,7,392,83.4,5,0,5,1.3,54,5
Rob,Holding,0,0,24,806,10,28.7,187.8,14,5,148,23.2,1,0,1,0.4,43,6
Shkodran,Mustafi,2,0,80,2611,40,106,718.6,252,5,475,107.8,6,0,9,1.3,54,7
Sead,Kolasinac,0,7,81,1886,29,445.9,323.2,242,10,382,101,5,0,5,5.4,49,8
Konstantinos,Mavropanos,0,0,3,147,1,14.1,27,10,0,28,5.2,0,0,1,0.1,47,10
Stephan,Lichtsteiner,0,0,14,935,18,61.1,113,23,0,89,20,0,0,3,0.8,45,11
Sokratis,Papastathopoulos,1,2,64,2198,33,67.9,513.8,120,4,402,70.4,5,0,12,1.2,51,12
Mesut,Özil,5,3,89,1732,24,714.2,429.6,254,9,363,140,5,0,2,2.6,79,13
Aaron,Ramsey,4,6,91,1319,13,387.2,418.4,502,4,298,131,9,0,0,0.9,71,14
Alex,Iwobi,3,8,99,1961,32,596.7,469,646,3,382,171.1,4,0,0,1.5,54,15
Mohamed,Elneny,0,0,10,377,5,76.7,86.6,63,0,59,22.7,0,0,0,2.2,42,16
Granit,Xhaka,4,3,90,2498,37,674,634.6,215,8,452,152.6,7,0,10,2.3,52,17
Henrikh,Mkhitaryan,6,4,98,1637,26,454.9,446.4,600,12,354,150.2,3,0,1,4.6,66,18
Reiss,Nelson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,44,19
Ainsley,Maitland-Niles,1,1,34,983,20,98.9,224.2,126,3,152,44.8,2,1,1,0.4,44,20
Danny,Welbeck,1,1,19,146,3,56.8,73.6,66,3,63,19.5,0,0,0,0.4,64,21
Alexandre,Lacazette,13,12,166,2497,31,482.4,808,1319,20,560,260.6,6,0,2,11.4,94,22
Pierre-Emerick,Aubameyang,22,7,205,2722,42,484.6,984.4,1429,32,756,289.6,7,0,0,18.8,108,23
Lucas,Torreira,2,4,78,2377,38,301,440.8,203,6,409,94.5,5,1,7,2.6,47,450
Matteo,Guendouzi,0,0,47,2140,32,312.4,323.2,130,0,321,76.6,3,0,9,1.6,44,451
Emiliano,Martínez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,40,542
Emile,Smith-Rowe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,545
Zech,Medley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,40,546
Edward,Nketiah,1,0,10,63,3,14.7,40.8,59,1,36,11.4,0,0,0,0,50,552
Bukayo,Saka,0,0,1,7,0,0,0,0,0,3,0,0,0,0,0,45,563
Joseph,Willock,0,0,4,63,1,2.5,1,23,0,4,2.7,1,0,0,0,45,566
Carl,Jenkinson,0,0,4,165,3,16.9,26.8,8,0,16,5.2,0,0,0,0,45,581
Denis,Suárez,0,0,4,67,1,4.8,8.4,0,0,11,1.4,0,0,0,0.1,57,586
Asmir,Begovic,0,0,63,2160,47,0,440.6,0,4,363,44.2,5,0,0,2.7,43,24
Artur,Boruc,0,0,46,1080,18,0,302,0,4,218,30.3,4,0,2,8.6,41,25
Simon,Francis,0,2,40,1227,24,173.3,332.4,39,0,244,54.4,4,0,1,0.2,43,26
Steve,Cook,1,1,85,2786,56,143.3,731,292,6,549,116.5,9,0,3,4.2,43,27
Charlie,Daniels,1,0,44,1583,34,215.4,289.8,156,1,278,66.2,4,0,4,3.2,41,28
Adam,Smith,1,1,70,2067,33,199.8,374,110,1,383,68.5,8,1,5,0.4,43,29
Tyrone,Mings,0,0,5,141,4,16.3,49,2,0,41,6.8,0,0,0,0.1,42,30
Nathan,Aké,4,1,120,3411,70,125.9,1002,440,8,716,156.8,10,0,3,6.1,51,31
Jack,Simpson,0,0,10,401,9,2,85.4,21,0,73,11,1,0,0,6.1,39,32
Marc,Pugh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,43,34
Andrew,Surman,0,0,36,1438,37,163,190.8,38,0,206,39.2,4,0,2,0.1,46,35
Junior,Stanislas,2,3,56,1021,24,254.5,225.2,340,3,205,82,2,0,1,0.1,60,36
Dan,Gosling,2,2,54,1734,33,164.7,400.6,217,0,237,78.1,4,0,8,0.1,47,37
Jordon,Ibe,1,1,33,789,23,174.8,131.2,155,0,105,46,1,0,1,0.2,49,38
Lewis,Cook,0,0,22,719,10,50.4,76,36,0,91,16.5,3,0,2,0.1,46,39
Ryan,Fraser,7,14,181,3165,64,1382.4,930.6,696,23,751,301.2,9,0,2,23.7,64,40
Emerson,Hyndman,0,0,1,37,2,1.2,14,0,0,2,1.5,0,0,0,0,44,41
David,Brooks,7,6,123,2263,41,466.7,598,609,7,414,167.5,9,0,3,3.6,50,42
